sim_index,tau,gamma,rho,R0,near_threshold,peak_I,peak_time,final_R
2446,0.01048825,0.34760844,0.0019831,1.0259,1,1124.1171,21.08,10666.0
3357,0.01083022,0.33710945,0.00566757,1.0923,1,1426.3611,19.08,12417.0
975,0.01038859,0.35226123,0.00721278,1.0027,1,1237.059,14.06,10270.0
444,0.01286977,0.3462115,0.00503933,1.2639,0,2365.8286,14.06,17240.0
3275,0.01450065,0.27844333,0.00965417,1.7706,0,5980.6094,12.05,33947.0
3391,0.01559807,0.29989004,0.00170534,1.7684,0,5702.5438,14.06,32714.0
2793,0.00293925,0.22158138,0.00516152,0.451,0,516.0,0.0,957.0
3303,0.00957132,0.32879428,0.00776066,0.9898,1,1064.1219,14.06,9271.0
1389,0.01485331,0.39406224,0.00893795,1.2816,0,2739.9883,8.03,18753.0
2017,0.01634492,0.39965699,0.00646721,1.3905,0,3219.1583,10.04,21325.0
2892,0.01365302,0.35353784,0.00771652,1.313,0,2446.253,12.05,17711.0
1750,0.01138335,0.17252326,0.00988727,2.2434,0,9902.7328,17.07,47137.0
3943,0.01837972,0.45629501,0.00761458,1.3695,0,3107.488,9.04,21476.0
1372,0.0213915,0.43845746,0.00410025,1.6588,0,4930.1875,8.03,29336.0
3378,0.00791796,0.48041382,0.00174441,0.5604,0,174.0,0.0,704.0
2308,0.0026015,0.17961947,0.00255676,0.4924,0,256.0,0.0,691.0
3402,0.00725396,0.46446559,0.00715354,0.531,0,715.0,0.0,1781.0
365,0.01052399,0.40194843,0.00560424,0.8902,1,577.2218,16.06,7065.0
514,0.00051923,0.20118829,0.00323447,0.0877,0,323.0,0.0,339.0
2980,0.00199501,0.04618552,0.00746462,1.4687,0,3732.4295,85.34,22737.0
3078,0.00599188,0.29817545,0.00154393,0.6832,0,154.0,0.0,2007.0
78,0.00784522,0.28526536,0.00431955,0.935,1,811.5808,22.09,8143.0
3178,0.00501119,0.14123509,0.00522368,1.2064,0,1578.4505,39.16,13621.0
3320,0.0169957,0.46180129,0.00468956,1.2513,0,2355.173,9.04,17392.0
2527,0.01308651,0.31240206,0.00596496,1.4243,0,3498.9641,15.06,23072.0
2375,0.00682465,0.48676424,0.00686674,0.4767,0,687.0,0.0,1160.0
100,0.02189646,0.41973568,0.00284575,1.7737,0,5161.3739,10.04,32256.0
2786,0.01375687,0.45252305,0.00565191,1.0336,1,1018.9703,9.04,10202.0
2705,0.00078568,0.32729132,0.00839823,0.0816,0,840.0,0.0,890.0
1171,0.00808153,0.43647246,0.005279,0.6295,0,528.0,0.0,2567.0
1761,0.01393301,0.38329803,0.00967682,1.2359,0,2169.2077,10.04,16053.0
2578,0.01672089,0.39450238,0.00796153,1.4411,0,3572.8018,10.04,23876.0
668,0.00313691,0.20118182,0.00529416,0.5301,0,529.0,0.0,985.0
1660,0.00267662,0.08239309,0.0082284,1.1045,1,1206.0769,77.31,12990.0
2626,0.0081991,0.34536375,0.00380361,0.8072,1,531.6395,22.09,4883.0
3197,0.00509348,0.1462531,0.00981923,1.1841,1,2022.9451,23.09,15369.0
3589,0.0067846,0.3472713,0.00841824,0.6643,0,842.0,0.0,3018.0
567,0.01667739,0.43320384,0.00392759,1.3089,0,2572.8161,10.04,18035.0
453,0.00521224,0.32986081,0.00900202,0.5372,0,900.0,0.0,1915.0
1444,0.00064594,0.37314762,0.00368518,0.0589,0,369.0,0.0,376.0
960,0.01080291,0.44601112,0.00364129,0.8235,1,838.1996,10.04,5754.0
3713,0.01084646,0.16340877,0.00122047,2.2568,0,9139.5905,24.1,45536.0
3031,0.00456751,0.10284546,0.00721433,1.51,0,3723.0568,43.17,25283.0
2027,0.00191859,0.36132505,0.00237771,0.1805,0,238.0,0.0,262.0
3319,0.00256032,0.37058889,0.00897655,0.2349,0,898.0,0.0,1055.0
529,0.00197248,0.41761087,0.00409598,0.1606,0,410.0,0.0,474.0
1260,0.01043113,0.42153093,0.00400143,0.8414,1,535.5182,9.04,4957.0
3392,0.01356037,0.4233632,0.0021274,1.089,1,1267.7234,17.07,11266.0
1774,0.02307878,0.32583973,0.00572497,2.4082,0,10640.5997,10.04,49859.0
2753,0.01816012,0.41114231,0.00850365,1.5018,0,4396.0154,9.04,26551.0
2482,0.00653548,0.15425447,0.00553185,1.4405,0,3214.9138,26.1,21457.0
