sim_index,tau,gamma,rho,R0,near_threshold,peak_I,peak_time,final_R
3133,0.0088069,0.67558177,0.00029156,0.4432,0,29.0,0.0,37.0
1752,0.01401982,0.99749691,0.00353186,0.4779,0,353.0,0.0,603.0
318,0.00845754,0.98477185,0.00770389,0.292,0,770.0,0.0,989.0
3593,0.01654366,0.8090616,0.00295474,0.6952,0,301.1948,10.04,3131.0
2357,0.00320026,0.69821462,0.00197182,0.1558,0,197.0,0.0,226.0
1264,0.00104702,0.50782142,0.00456906,0.0701,0,457.0,0.0,484.0
2872,0.00380544,0.12895279,0.00237426,1.0034,1,1144.5255,45.18,9821.0
2140,0.006474,0.71405848,0.00535668,0.3083,0,536.0,0.0,738.0
2409,0.00482517,0.2158493,0.00238527,0.76,0,266.4797,45.18,3015.0
2914,0.01452167,0.61620715,0.00423358,0.8013,1,423.0,0.0,4330.0
2266,0.01578128,0.6323663,0.00426674,0.8485,1,595.8727,10.04,5695.0
1648,0.00253487,0.97006767,0.00558368,0.0888,0,558.0,0.0,591.0
268,0.00393117,0.28505927,0.00818813,0.4689,0,819.0,0.0,1541.0
2590,0.00566671,0.83258516,0.00449145,0.2314,0,449.0,0.0,554.0
38,0.01840474,0.39918478,0.00477261,1.5676,0,4126.5636,10.04,26394.0
3238,0.0082832,0.98480562,0.00593175,0.286,0,593.0,0.0,835.0
134,0.00099711,0.44839409,0.00405331,0.0756,0,405.0,0.0,430.0
1816,0.00230936,0.68294149,0.00255313,0.115,0,255.0,0.0,270.0
657,0.01102876,0.67532063,0.000712,0.5553,0,71.0,0.0,143.0
2624,0.00808577,0.57273425,0.00680765,0.48,0,681.0,0.0,1224.0
1265,0.01600828,0.54104988,0.00188477,1.006,1,832.5965,19.08,8902.0
2158,0.00129475,0.16891841,0.00806918,0.2606,0,807.0,0.0,1065.0
2159,0.01218576,0.74463988,0.00500629,0.5564,0,501.0,0.0,1571.0
142,0.01125021,0.60746479,0.00491592,0.6297,0,492.0,0.0,1888.0
670,0.01935372,0.39408307,0.00013499,1.6698,0,4654.9672,19.08,29310.0
3206,0.00430244,0.63416817,0.00716014,0.2307,0,716.0,0.0,909.0
1860,0.00822603,0.86883394,0.00429931,0.3219,0,430.0,0.0,574.0
1043,0.00989044,0.90403899,0.00461533,0.372,0,462.0,0.0,643.0
1109,0.00869658,0.9690423,0.00500419,0.3051,0,500.0,0.0,816.0
3252,0.01689233,0.35337964,0.00195261,1.6253,0,4663.9655,13.05,28375.0
2890,0.0132479,0.59189586,0.00707884,0.761,0,708.0,0.0,5070.0
1998,0.019605,0.3059465,0.00024164,2.1787,0,8278.9598,15.06,42696.0
2232,0.01776084,0.90380732,0.00280969,0.6681,0,281.0,0.0,1287.0
2924,0.0183829,0.95633348,0.00425838,0.6536,0,426.0,0.0,1623.0
86,0.01612375,0.4730774,0.00746359,1.1588,1,2022.6187,10.04,14697.0
3768,0.00324623,0.35735251,0.00870967,0.3089,0,871.0,0.0,1163.0
2932,0.00224282,0.78207427,0.00124735,0.0975,0,125.0,0.0,132.0
3427,0.01109046,0.27606548,0.0057478,1.3659,0,2858.441,15.06,20031.0
1613,0.00046237,0.09784469,0.00677647,0.1607,0,678.0,0.0,769.0
857,0.00552891,0.50202924,0.00088594,0.3744,0,89.0,0.0,116.0
1960,0.01346751,0.58949889,0.00631909,0.7768,0,765.5778,8.03,6014.0
637,0.00680015,0.94241026,0.00462504,0.2453,0,463.0,0.0,539.0
1948,0.00573425,0.27985017,0.00157349,0.6967,0,187.6845,59.24,1883.0
2395,0.00165483,0.9849598,0.0015233,0.0571,0,152.0,0.0,156.0
309,0.00089562,0.0691905,0.00428569,0.4401,0,429.0,0.0,884.0
2653,0.00131607,0.35794543,0.00532767,0.125,0,533.0,0.0,582.0
427,0.0027596,0.79278243,0.00764533,0.1184,0,765.0,0.0,844.0
1469,0.00291583,0.27732713,0.00051096,0.3575,0,51.0,0.0,109.0
1803,0.00414324,0.13303796,0.00751029,1.0589,1,1146.5219,43.17,11207.0
894,0.00790483,0.2163714,0.00371493,1.2421,0,2608.3828,23.09,18250.0
3479,0.00142566,0.75568745,0.00695702,0.0641,0,696.0,0.0,722.0
2441,0.00706519,0.94819218,0.00216854,0.2533,0,217.0,0.0,304.0
546,0.00663844,0.57978258,0.00591252,0.3893,0,591.0,0.0,909.0
3102,0.00611215,0.26828403,0.00462141,0.7746,0,462.0,0.0,4307.0
2915,0.00152434,0.55780852,0.00249005,0.0929,0,249.0,0.0,278.0
2023,0.01347855,0.86988919,0.00448319,0.5268,0,448.0,0.0,820.0
3361,0.00492722,0.1169358,0.00528225,1.4326,0,3151.5898,41.16,22745.0
1725,0.01563413,0.93630636,0.00251217,0.5677,0,251.0,0.0,810.0
3613,0.01363548,0.80288113,0.00355348,0.5774,0,355.0,0.0,1141.0
1566,0.00453732,0.2051451,0.00549755,0.752,0,550.0,0.0,4731.0
407,0.01740306,0.32057172,0.00457208,1.8458,0,6415.5692,11.04,35711.0
1765,0.00462304,0.54245161,0.00648853,0.2898,0,649.0,0.0,878.0
3937,0.00666011,0.73987043,0.00697728,0.3061,0,698.0,0.0,931.0
1570,0.00547569,0.65607529,0.00109931,0.2838,0,110.0,0.0,152.0
2013,0.01491053,0.41752964,0.00582053,1.2142,0,2013.7125,13.05,16027.0
1297,0.00564776,0.77586672,0.00882623,0.2475,0,883.0,0.0,1233.0
1993,0.00388224,0.93312105,0.00588013,0.1415,0,588.0,0.0,663.0
2437,0.0051771,0.90615466,0.00340924,0.1943,0,341.0,0.0,384.0
2644,0.00499288,0.26547749,0.00738591,0.6394,0,739.0,0.0,2732.0
2824,0.01837571,0.54006117,0.00815511,1.1569,1,1961.5817,8.03,15147.0
154,0.01879146,0.87711993,0.00770554,0.7284,0,771.0,0.0,4525.0
